"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"1","abbagliare","abbaglio",5,"abbaLLo","abbaLL","LL","are","abbaLL","LL","abbaglia",429,"abbaLLa","abbaLL","LL","abbagliamo",3,"abbaLLamo","abbaLL","LL","abbagli",62,"abbaLLi","abbaLL","LL",0,1,"-"
"2","abbaiare","abbaio",114,"abbaio","abbai","-","are","abbai","-","abbaia",934,"abbaia","abbai","-","abbaiamo",14,"abbaiamo","abbai","-","abbai",152,"abbai","abba","-",0,1,"-"
"3","abbandonare","abbandono",496,"abbandono","abbandon","-","are","abbandon","-","abbandona",11888,"abbandona","abbandon","-","abbandoniamo",864,"abbandoniamo","abbandon","-","abbandoni",1802,"abbandoni","abbandon","-",0,1,"-"
"4","abbassare","abbasso",1444,"abbasso","abbass","-","are","abbass","-","abbassa",5761,"abbassa","abbass","-","abbassiamo",337,"abbassiamo","abbass","-","abbassi",678,"abbassi","abbass","-",0,1,"-"
"5","abbeverare","abbevero",24,"abbevero","abbever","-","are","abbever","-","abbevera",146,"abbevera","abbever","-","abbeveriamo",6,"abbeveriamo","abbever","-","abbeveri",15,"abbeveri","abbever","-",0,1,"-"
"6","abbinare","abbino",311,"abbino","abbin","-","are","abbin","-","abbina",1604,"abbina","abbin","-","abbiniamo",55,"abbiniamo","abbin","-","abbini",112,"abbini","abbin","-",0,1,"-"
"7","abbisognare","abbisogno",28,"abbisoNNo","abbisoNN","NN","are","abbisoNN","NN","abbisogna",1294,"abbisoNNa","abbisoNN","NN","abbisogniamo",16,"abbisoNNiamo","abbisoNN","NN","abbisogni",99,"abbisoNNi","abbisoNN","NN",0,1,"-"
"8","abboccare","abbocco",63,"abbokko","abbokk","k","are","abbokk","k","abbocca",627,"abbokka","abbokk","k","abbocchiamo",17,"abbokkiamo","abbokk","k","abbocchi",113,"abbokki","abbokk","k",0,1,"-"
"9","abbonare","abbono",123,"abbono","abbon","-","are","abbon","-","abbona",194,"abbona","abbon","-","abboniamo",7,"abboniamo","abbon","-","abboni",85,"abboni","abbon","-",0,1,"-"
"10","abbondare","abbondo",19,"abbondo","abbond","-","are","abbond","-","abbonda",1321,"abbonda","abbond","-","abbondiamo",112,"abbondiamo","abbond","-","abbondi",99,"abbondi","abbond","-",0,1,"-"
"11","abbordare","abbordo",29,"abbordo","abbord","-","are","abbord","-","abborda",99,"abborda","abbord","-","abbordiamo",10,"abbordiamo","abbord","-","abbordi",71,"abbordi","abbord","-",0,1,"-"
"12","abbozzare","abbozzo",110,"abbozzo","abbozz","-","are","abbozz","-","abbozza",487,"abbozza","abbozz","-","abbozziamo",22,"abbozziamo","abbozz","-","abbozzi",134,"abbozzi","abbozz","-",0,1,"-"
"13","abbracciare","abbraccio",2021,"abbrattSo","abbrattS","tS","are","abbrattS","tS","abbraccia",7282,"abbrattSa","abbrattS","tS","abbracciamo",334,"abbrattSamo","abbrattS","tS","abbracci",1225,"abbrattSi","abbrattS","tS",0,1,"-"
"14","abbreviare","abbrevio",48,"abbrevio","abbrevi","-","are","abbrevi","-","abbrevia",240,"abbrevia","abbrevi","-","abbreviamo",17,"abbreviamo","abbrevi","-","abbrevi",21,"abbrevi","abbrev","-",0,1,"-"
