"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"1","abbacchiare","abbacchio","abbakkio","abbakki","-","are","abbakki","-","abbacchia","abbakkia","abbakki","-","abbacchiamo","abbakkiamo","abbakki","-","abbacchi","abbakki","abbakk","k",0,1,"-"
"2","abbacinare","abbacino","abbatSino","abbatSin","-","are","abbatSin","-","abbacina","abbatSina","abbatSin","-","abbaciniamo","abbatSiniamo","abbatSin","-","abbacini","abbatSini","abbatSin","-",0,1,"-"
"3","abbagliare","abbaglio","abbaLLo","abbaLL","LL","are","abbaLL","LL","abbaglia","abbaLLa","abbaLL","LL","abbagliamo","abbaLLamo","abbaLL","LL","abbagli","abbaLLi","abbaLL","LL",0,1,"-"
"4","abbaiare","abbaio","abbaio","abbai","-","are","abbai","-","abbaia","abbaia","abbai","-","abbaiamo","abbaiamo","abbai","-","abbai","abbai","abba","-",0,1,"-"
"5","abbandonare","abbandono","abbandono","abbandon","-","are","abbandon","-","abbandona","abbandona","abbandon","-","abbandoniamo","abbandoniamo","abbandon","-","abbandoni","abbandoni","abbandon","-",0,1,"-"
"6","abbarbagliare","abbarbaglio","abbarbaLLo","abbarbaLL","LL","are","abbarbaLL","LL","abbarbaglia","abbarbaLLa","abbarbaLL","LL","abbarbagliamo","abbarbaLLamo","abbarbaLL","LL","abbarbagli","abbarbaLLi","abbarbaLL","LL",0,1,"-"
"7","abbarbicare","abbarbico","abbarbiko","abbarbik","k","are","abbarbik","k","abbarbica","abbarbika","abbarbik","k","abbarbichiamo","abbarbikiamo","abbarbik","k","abbarbichi","abbarbiki","abbarbik","k",0,1,"-"
"8","abbaruffare","abbaruffo","abbaruffo","abbaruff","-","are","abbaruff","-","abbaruffa","abbaruffa","abbaruff","-","abbaruffiamo","abbaruffiamo","abbaruff","-","abbaruffi","abbaruffi","abbaruff","-",0,1,"-"
"9","abbassare","abbasso","abbasso","abbass","-","are","abbass","-","abbassa","abbassa","abbass","-","abbassiamo","abbassiamo","abbass","-","abbassi","abbassi","abbass","-",0,1,"-"
"10","abbeverare","abbevero","abbevero","abbever","-","are","abbever","-","abbevera","abbevera","abbever","-","abbeveriamo","abbeveriamo","abbever","-","abbeveri","abbeveri","abbever","-",0,1,"-"
"11","abbicare","abbico","abbiko","abbik","k","are","abbik","k","abbica","abbika","abbik","k","abbichiamo","abbikiamo","abbik","k","abbichi","abbiki","abbik","k",0,1,"-"
"12","abbigliare","abbiglio","abbiLLo","abbiLL","LL","are","abbiLL","LL","abbiglia","abbiLLa","abbiLL","LL","abbigliamo","abbiLLamo","abbiLL","LL","abbigli","abbiLLi","abbiLL","LL",0,1,"-"
"13","abbinare","abbino","abbino","abbin","-","are","abbin","-","abbina","abbina","abbin","-","abbiniamo","abbiniamo","abbin","-","abbini","abbini","abbin","-",0,1,"-"
"14","abbindolare","abbindolo","abbindolo","abbindol","-","are","abbindol","-","abbindola","abbindola","abbindol","-","abbindoliamo","abbindoliamo","abbindol","-","abbindoli","abbindoli","abbindol","-",0,1,"-"
