"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"1","abbattere","abbatto",90,"abbatto","abbatt","-","ere","abbatt","-","abbatte",3255,"abbatte","abbatt","-","abbattiamo",118,"abbattiamo","abbatt","-","abbatta",305,"abbatta","abbatt","-",0,1,"-"
"2","accedere","accedo",272,"attSedo","attSed","-","ere","attSed","-","accede",11267,"attSede","attSed","-","accediamo",198,"attSediamo","attSed","-","acceda",688,"attSeda","attSed","-",0,1,"-"
"3","accendere","accendo",1645,"attSendo","attSend","-","ere","attSend","-","accende",7600,"attSende","attSend","-","accendiamo",521,"attSendiamo","attSend","-","accenda",450,"attSenda","attSend","-",0,1,"-"
"4","accingere","accingo",1317,"attSingo","attSing","ng","ere","attSindG","dG","accinge",3184,"attSindGe","attSindG","dG","accingiamo",1260,"attSindGamo","attSindG","dG","accinga",151,"attSinga","attSing","ng",1,0,"-"
"5","accludere","accludo",76,"akkludo","akklud","-","ere","akklud","-","acclude",86,"akklude","akklud","-","accludiamo",22,"akkludiamo","akklud","-","accluda",7,"akkluda","akklud","-",0,1,"-"
"6","accogliere","accolgo",761,"akkolgo","akkolg","lg","ere","akkoLL","LL","accoglie",22560,"akkoLLe","akkoLL","LL","accogliamo",914,"akkoLLamo","akkoLL","LL","accolga",1777,"akkolga","akkolg","lg",1,0,"-"
"7","accorgere","accorgo",5702,"akkorgo","akkorg","g","ere","akkordG","dG","accorge",12022,"akkordGe","akkordG","dG","accorgiamo",4349,"akkordGamo","akkordG","dG","accorga",1931,"akkorga","akkorg","g",1,0,"-"
"8","accorrere","accorro",30,"akkorro","akkorr","-","ere","akkorr","-","accorre",833,"akkorre","akkorr","-","accorriamo",19,"akkorriamo","akkorr","-","accorra",51,"akkorra","akkorr","-",0,1,"-"
"9","accrescere","accresco",10,"akkresko","akkresk","k","ere","akkreSS","-","accresce",3610,"akkreSSe","akkreSS","-","accresciamo",18,"akkreSSamo","akkreSS","-","accresca",448,"akkreska","akkresk","k",1,0,"-"
"10","affiggere","affiggo",6,"affiggo","affigg","g","ere","affiddG","dG","affigge",203,"affiddGe","affiddG","dG","affiggiamo",3,"affiddGamo","affiddG","dG","affigga",10,"affigga","affigg","g",1,0,"-"
"11","affliggere","affliggo",32,"affliggo","affligg","g","ere","affliddG","dG","affligge",3172,"affliddGe","affliddG","dG","affliggiamo",5,"affliddGamo","affliddG","dG","affligga",69,"affligga","affligg","g",1,0,"-"
"12","aggiungere","aggiungo",10561,"addGungo","addGung","ng","ere","addGundG","dG","aggiunge",65583,"addGundGe","addGundG","dG","aggiungiamo",4668,"addGundGamo","addGundG","dG","aggiunga",4312,"addGunga","addGung","ng",1,0,"-"
"13","alludere","alludo",511,"alludo","allud","-","ere","allud","-","allude",3487,"allude","allud","-","alludiamo",84,"alludiamo","allud","-","alluda",259,"alluda","allud","-",0,1,"-"
"14","ammettere","ammetto",5636,"ammetto","ammett","-","ere","ammett","-","ammette",19666,"ammette","ammett","-","ammettiamo",1131,"ammettiamo","ammett","-","ammetta",946,"ammetta","ammett","-",0,1,"-"
"15","annettere","annetto",55,"annetto","annett","-","ere","annett","-","annette",627,"annette","annett","-","annettiamo",40,"annettiamo","annett","-","annetta",43,"annetta","annett","-",0,1,"-"
"16","appartenere","appartengo",1976,"appartengo","apparteng","ng","ere","apparten","-","appartiene",39534,"appartiene","appartien","-","apparteniamo",1176,"apparteniamo","apparten","-","appartenga",3118,"appartenga","apparteng","ng",1,0,"-"
"17","appendere","appendo",178,"appendo","append","-","ere","append","-","appende",441,"appende","append","-","appendiamo",63,"appendiamo","append","-","appenda",55,"appenda","append","-",0,1,"-"
"18","apprendere","apprendo",844,"apprendo","apprend","-","ere","apprend","-","apprende",6889,"apprende","apprend","-","apprendiamo",1776,"apprendiamo","apprend","-","apprenda",198,"apprenda","apprend","-",0,1,"-"
"19","ardere","ardo",224,"ardo","ard","-","ere","ard","-","arde",1426,"arde","ard","-","ardiamo",20,"ardiamo","ard","-","arda",184,"arda","ard","-",0,1,"-"
"20","arrendere","arrendo",829,"arrendo","arrend","-","ere","arrend","-","arrende",2253,"arrende","arrend","-","arrendiamo",265,"arrendiamo","arrend","-","arrenda",102,"arrenda","arrend","-",0,1,"-"
"21","ascendere","ascendo",24,"aSSendo","aSSend","-","ere","aSSend","-","ascende",647,"aSSende","aSSend","-","ascendiamo",24,"aSSendiamo","aSSend","-","ascenda",46,"aSSenda","aSSend","-",0,1,"-"
"22","ascrivere","ascrivo",38,"askrivo","askriv","-","ere","askriv","-","ascrive",365,"askrive","askriv","-","ascriviamo",22,"askriviamo","askriv","-","ascriva",23,"askriva","askriv","-",0,1,"-"
"23","assistere","assisto",518,"assisto","assist","-","ere","assist","-","assiste",15333,"assiste","assist","-","assistiamo",5393,"assistiamo","assist","-","assista",1199,"assista","assist","-",0,1,"-"
"24","assolvere","assolvo",149,"assolvo","assolv","-","ere","assolv","-","assolve",3987,"assolve","assolv","-","assolviamo",49,"assolviamo","assolv","-","assolva",358,"assolva","assolv","-",0,1,"-"
"25","assumere","assumo",2407,"assumo","assum","-","ere","assum","-","assume",64385,"assume","assum","-","assumiamo",1440,"assumiamo","assum","-","assuma",6720,"assuma","assum","-",0,1,"-"
"26","assurgere","assurgo",6,"assurgo","assurg","g","ere","assurdG","dG","assurge",937,"assurdGe","assurdG","dG","assurgiamo",3,"assurdGamo","assurdG","dG","assurga",81,"assurga","assurg","g",1,0,"-"
"27","astenere","astengo",704,"astengo","asteng","ng","ere","asten","-","astiene",2033,"astiene","astien","-","asteniamo",167,"asteniamo","asten","-","astenga",425,"astenga","asteng","ng",1,0,"-"
"28","attendere","attendo",4122,"attendo","attend","-","ere","attend","-","attende",21753,"attende","attend","-","attendiamo",3723,"attendiamo","attend","-","attenda",648,"attenda","attend","-",0,1,"-"
"29","attenere","attengo",349,"attengo","atteng","ng","ere","atten","-","attiene",32197,"attiene","attien","-","atteniamo",197,"atteniamo","atten","-","attenga",920,"attenga","atteng","ng",1,0,"-"
"30","attingere","attingo",103,"attingo","atting","ng","ere","attindG","dG","attinge",3003,"attindGe","attindG","dG","attingiamo",172,"attindGamo","attindG","dG","attinga",199,"attinga","atting","ng",1,0,"-"
"31","autoconvincere","autoconvinco",11,"autokonvinko","autokonvink","k","ere","autokonvintS","tS","autoconvince",26,"autokonvintSe","autokonvintS","tS","autoconvinciamo",7,"autokonvintSamo","autokonvintS","tS","autoconvinca",5,"autokonvinka","autokonvink","k",1,0,"-"
"32","autodistruggere","autodistruggo",3,"autodistruggo","autodistrugg","g","ere","autodistruddG","dG","autodistrugge",125,"autodistruddGe","autodistruddG","dG","autodistruggiamo",4,"autodistruddGamo","autodistruddG","dG","autodistrugga",29,"autodistrugga","autodistrugg","g",1,0,"-"
"33","avere","ho",350235,"ho","h","-","ere","av","-","ha",1317423,"ha","h","-","abbiamo",175375,"abbiamo","","-","abbia",122723,"abbia","abbi","-",0,0,"-"
"35","avere","ho",114,"ho","h","-","ere","av","-","ha",65,"ha","h","-","abbiamo",175375,"abbiamo","","-","abbia",122723,"abbia","abbi","-",0,0,"-"
"37","avere","ho",114,"ho","h","-","ere","av","-","ha",1317423,"ha","h","-","abbiamo",175375,"abbiamo","","-","abbia",122723,"abbia","abbi","-",0,0,"-"
"41","avere","ho",350235,"ho","h","-","ere","av","-","ha",65,"ha","h","-","abbiamo",175375,"abbiamo","","-","abbia",122723,"abbia","abbi","-",0,0,"-"
"65","avvalere","avvalgo",243,"avvalgo","avvalg","lg","ere","avval","-","avvale",19816,"avvale","avval","-","avvaliamo",165,"avvaliamo","avval","-","avvalga",1562,"avvalga","avvalg","lg",1,0,"-"
"66","avvedere","avvedo",86,"avvedo","avved","-","ere","avved","-","avvede",597,"avvede","avved","-","avvediamo",35,"avvediamo","avved","-","avveda",76,"avveda","avved","-",0,1,"-"
"67","avvolgere","avvolgo",159,"avvolgo","avvolg","lg","ere","avvoldG","dG","avvolge",6137,"avvoldGe","avvoldG","dG","avvolgiamo",34,"avvoldGamo","avvoldG","dG","avvolga",124,"avvolga","avvolg","lg",1,0,"-"
"68","battere","batto",813,"batto","batt","-","ere","batt","-","batte",18710,"batte","batt","-","battiamo",1028,"battiamo","batt","-","batta",686,"batta","batt","-",0,1,"-"
"69","bere","bevo",2591,"bevo","bev","-","ere","b","-","beve",7879,"beve","bev","-","beviamo",1078,"beviamo","b","-","beva",1802,"beva","bev","-",0,0,"-"
"77","cadere","cado",933,"kado","kad","-","ere","kad","-","cade",23908,"kade","kad","-","cadiamo",660,"kadiamo","kad","-","cada",3085,"kada","kad","-",0,1,"-"
"78","capere","capo",11,"kapo","kap","-","ere","kap","-","cape",87,"kape","kap","-","capiamo",3677,"kapiamo","kap","-","capa",62,"kapa","kap","-",0,1,"-"
"79","capovolgere","capovolgo",21,"kapovolgo","kapovolg","lg","ere","kapovoldG","dG","capovolge",896,"kapovoldGe","kapovoldG","dG","capovolgiamo",23,"kapovoldGamo","kapovoldG","dG","capovolga",47,"kapovolga","kapovolg","lg",1,0,"-"
"80","cedere","cedo",802,"tSedo","tSed","-","ere","tSed","-","cede",7844,"tSede","tSed","-","cediamo",320,"tSediamo","tSed","-","ceda",860,"tSeda","tSed","-",0,1,"-"
"81","chiedere","chiedo",65541,"kiedo","kied","-","ere","kied","-","chiede",151951,"kiede","kied","-","chiediamo",26326,"kiediamo","kied","-","chieda",5836,"kieda","kied","-",0,1,"-"
