"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"1","abbattere","abbatto","abbatto","abbatt","-","ere","abbatt","-","abbatte","abbatte","abbatt","-","abbattiamo","abbattiamo","abbatt","-","abbatta","abbatta","abbatt","-",0,1,"-"
"2","accadere","accado","akkado","akkad","-","ere","akkad","-","accade","akkade","akkad","-","accadiamo","akkadiamo","akkad","-","accada","akkada","akkad","-",0,1,"-"
"3","accedere","accedo","attSedo","attSed","-","ere","attSed","-","accede","attSede","attSed","-","accediamo","attSediamo","attSed","-","acceda","attSeda","attSed","-",0,1,"-"
"4","accendere","accendo","attSendo","attSend","-","ere","attSend","-","accende","attSende","attSend","-","accendiamo","attSendiamo","attSend","-","accenda","attSenda","attSend","-",0,1,"-"
"5","accingere","accingo","attSingo","attSing","ng","ere","attSindG","dG","accinge","attSindGe","attSindG","dG","accingiamo","attSindGamo","attSindG","dG","accinga","attSinga","attSing","ng",1,0,"-"
"6","accludere","accludo","akkludo","akklud","-","ere","akklud","-","acclude","akklude","akklud","-","accludiamo","akkludiamo","akklud","-","accluda","akkluda","akklud","-",0,1,"-"
"7","accogliere","accolgo","akkolgo","akkolg","lg","ere","akkoLL","LL","accoglie","akkoLLe","akkoLL","LL","accogliamo","akkoLLamo","akkoLL","LL","accolga","akkolga","akkolg","lg",1,0,"-"
"8","accondiscendere","accondiscendo","akkondiSSendo","akkondiSSend","-","ere","akkondiSSend","-","accondiscende","akkondiSSende","akkondiSSend","-","accondiscendiamo","akkondiSSendiamo","akkondiSSend","-","accondiscenda","akkondiSSenda","akkondiSSend","-",0,1,"-"
"9","accorgere","accorgo","akkorgo","akkorg","g","ere","akkordG","dG","accorge","akkordGe","akkordG","dG","accorgiamo","akkordGamo","akkordG","dG","accorga","akkorga","akkorg","g",1,0,"-"
"10","accorrere","accorro","akkorro","akkorr","-","ere","akkorr","-","accorre","akkorre","akkorr","-","accorriamo","akkorriamo","akkorr","-","accorra","akkorra","akkorr","-",0,1,"-"
"11","accrescere","accresco","akkresko","akkresk","k","ere","akkreSS","-","accresce","akkreSSe","akkreSS","-","accresciamo","akkreSSamo","akkreSS","-","accresca","akkreska","akkresk","k",1,0,"-"
"12","adempiere","adempio","adempio","adempi","-","ere","adempi","-","adempie","adempie","adempi","-","adempiiamo","adempiiamo","adempi","-","adempia","adempia","adempi","-",0,1,"-"
"13","adergere","adergo","adergo","aderg","g","ere","aderdG","dG","aderge","aderdGe","aderdG","dG","adergiamo","aderdGamo","aderdG","dG","aderga","aderga","aderg","g",1,0,"-"
"14","affiggere","affiggo","affiggo","affigg","g","ere","affiddG","dG","affigge","affiddGe","affiddG","dG","affiggiamo","affiddGamo","affiddG","dG","affigga","affigga","affigg","g",1,0,"-"
"15","affliggere","affliggo","affliggo","affligg","g","ere","affliddG","dG","affligge","affliddGe","affliddG","dG","affliggiamo","affliddGamo","affliddG","dG","affligga","affligga","affligg","g",1,0,"-"
"16","aggiungere","aggiungo","addGungo","addGung","ng","ere","addGundG","dG","aggiunge","addGundGe","addGundG","dG","aggiungiamo","addGundGamo","addGundG","dG","aggiunga","addGunga","addGung","ng",1,0,"-"
"17","alludere","alludo","alludo","allud","-","ere","allud","-","allude","allude","allud","-","alludiamo","alludiamo","allud","-","alluda","alluda","allud","-",0,1,"-"
"18","ammettere","ammetto","ammetto","ammett","-","ere","ammett","-","ammette","ammette","ammett","-","ammettiamo","ammettiamo","ammett","-","ammetta","ammetta","ammett","-",0,1,"-"
"19","annettere","annetto","annetto","annett","-","ere","annett","-","annette","annette","annett","-","annettiamo","annettiamo","annett","-","annetta","annetta","annett","-",0,1,"-"
"20","appartenere","appartengo","appartengo","apparteng","ng","ere","apparten","-","appartiene","appartiene","appartien","-","apparteniamo","apparteniamo","apparten","-","appartenga","appartenga","apparteng","ng",1,0,"-"
"21","appendere","appendo","appendo","append","-","ere","append","-","appende","appende","append","-","appendiamo","appendiamo","append","-","appenda","appenda","append","-",0,1,"-"
"22","apprendere","apprendo","apprendo","apprend","-","ere","apprend","-","apprende","apprende","apprend","-","apprendiamo","apprendiamo","apprend","-","apprenda","apprenda","apprend","-",0,1,"-"
"23","ardere","ardo","ardo","ard","-","ere","ard","-","arde","arde","ard","-","ardiamo","ardiamo","ard","-","arda","arda","ard","-",0,1,"-"
"24","arrendere","arrendo","arrendo","arrend","-","ere","arrend","-","arrende","arrende","arrend","-","arrendiamo","arrendiamo","arrend","-","arrenda","arrenda","arrend","-",0,1,"-"
