"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"1","abbellire","abbellisco",13,"abbellisko","abbellisk","abbell","k","ire","abbell","-","abbellisce",206,"abbelliSSe","abbelliSS","-","abbelliamo",6,"abbelliamo","abbell","-","abbellisca",22,"abbelliska","abbellisk","k",1,0
"2","abolire","abolisco",8,"abolisko","abolisk","abol","k","ire","abol","-","abolisce",1353,"aboliSSe","aboliSS","-","aboliamo",327,"aboliamo","abol","-","abolisca",175,"aboliska","abolisk","k",1,0
"3","aborrire","aborro",193,"aborro","aborr","aborr","-","ire","aborr","-","aborre",173,"aborre","aborr","-","aborriamo",49,"aborriamo","aborr","-","aborrisca",11,"aborriska","aborrisk","k",0,1
"4","abortire","abortisco",18,"abortisko","abortisk","abort","k","ire","abort","-","abortisce",181,"abortiSSe","abortiSS","-","abortiamo",5,"abortiamo","abort","-","abortisca",27,"abortiska","abortisk","k",1,0
"5","accanire","accanisco",33,"akkanisko","akkanisk","akkan","k","ire","akkan","-","accanisce",679,"akkaniSSe","akkaniSS","-","accaniamo",24,"akkaniamo","akkan","-","accanisca",125,"akkaniska","akkanisk","k",1,0
"6","acconsentire","acconsento",140,"akkonsento","akkonsent","akkonsent","-","ire","akkonsent","-","acconsente",2494,"akkonsente","akkonsent","-","acconsentiamo",39,"akkonsentiamo","akkonsent","-","acconsenta",193,"akkonsenta","akkonsent","-",0,1
"7","accudire","accudisco",26,"akkudisko","akkudisk","akkud","k","ire","akkud","-","accudisce",496,"akkudiSSe","akkudiSS","-","accudiamo",14,"akkudiamo","akkud","-","accudisca",53,"akkudiska","akkudisk","k",1,0
"8","acquisire","acquisisco",75,"akquisisko","akquisisk","akquis","k","ire","akquis","-","acquisisce",7117,"akquisiSSe","akquisiSS","-","acquisiamo",125,"akquisiamo","akquis","-","acquisisca",979,"akquisiska","akquisisk","k",1,0
"9","aderire","aderisco",532,"aderisko","aderisk","ader","k","ire","ader","-","aderisce",8355,"aderiSSe","aderiSS","-","aderiamo",402,"aderiamo","ader","-","aderisca",881,"aderiska","aderisk","k",1,0
"10","aggredire","aggredisco",38,"aggredisko","aggredisk","aggred","k","ire","aggred","-","aggredisce",1528,"aggrediSSe","aggrediSS","-","aggrediamo",38,"aggrediamo","aggred","-","aggredisca",80,"aggrediska","aggredisk","k",1,0
"11","agire","agisco",829,"adGisko","adGisk","adG","k","ire","adG","dG","agisce",19084,"adGiSSe","adGiSS","-","agiamo",672,"adGamo","adG","dG","agisca",2712,"adGiska","adGisk","k",1,0
"12","alleggerire","alleggerisco",16,"alleddGerisko","alleddGerisk","alleddGer","k","ire","alleddGer","-","alleggerisce",599,"alleddGeriSSe","alleddGeriSS","-","alleggeriamo",21,"alleddGeriamo","alleddGer","-","alleggerisca",87,"alleddGeriska","alleddGerisk","k",1,0
"13","allestire","allestisco",19,"allestisko","allestisk","allest","k","ire","allest","-","allestisce",1021,"allestiSSe","allestiSS","-","allestiamo",51,"allestiamo","allest","-","allestisca",21,"allestiska","allestisk","k",1,0
"14","ambire","ambisco",262,"ambisko","ambisk","amb","k","ire","amb","-","ambisce",1233,"ambiSSe","ambiSS","-","ambiamo",31,"ambiamo","amb","-","ambisca",157,"ambiska","ambisk","k",1,0
"15","ammonire","ammonisco",51,"ammonisko","ammonisk","ammon","k","ire","ammon","-","ammonisce",2744,"ammoniSSe","ammoniSS","-","ammoniamo",24,"ammoniamo","ammon","-","ammonisca",61,"ammoniska","ammonisk","k",1,0
"16","ammorbidire","ammorbidisco",8,"ammorbidisko","ammorbidisk","ammorbid","k","ire","ammorbid","-","ammorbidisce",362,"ammorbidiSSe","ammorbidiSS","-","ammorbidiamo",4,"ammorbidiamo","ammorbid","-","ammorbidisca",66,"ammorbidiska","ammorbidisk","k",1,0
