"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"1","abbellire","abbellisco","abbellisko","abbellisk","abbell","k","ire","abbell","-","abbellisce","abbelliSSe","abbelliSS","-","abbelliamo","abbelliamo","abbell","-","abbellisca","abbelliska","abbellisk","k",1,0
"2","abbrustolire","abbrustolisco","abbrustolisko","abbrustolisk","abbrustol","k","ire","abbrustol","-","abbrustolisce","abbrustoliSSe","abbrustoliSS","-","abbrustoliamo","abbrustoliamo","abbrustol","-","abbrustolisca","abbrustoliska","abbrustolisk","k",1,0
"3","abbrutire","abbruto","abbruto","abbrut","abbrut","-","ire","abbrut","-","abbrute","abbrute","abbrut","-","abbrutiamo","abbrutiamo","abbrut","-","abbruta","abbruta","abbrut","-",0,1
"4","abbruttire","abbruttisco","abbruttisko","abbruttisk","abbrutt","k","ire","abbrutt","-","abbruttisce","abbruttiSSe","abbruttiSS","-","abbruttiamo","abbruttiamo","abbrutt","-","abbruttisca","abbruttiska","abbruttisk","k",1,0
"5","abolire","abolisco","abolisko","abolisk","abol","k","ire","abol","-","abolisce","aboliSSe","aboliSS","-","aboliamo","aboliamo","abol","-","abolisca","aboliska","abolisk","k",1,0
"6","aborrire","aborro","aborro","aborr","aborr","-","ire","aborr","-","aborre","aborre","aborr","-","aborriamo","aborriamo","aborr","-","aborrisca","aborriska","aborrisk","k",0,1
"7","abortire","abortisco","abortisko","abortisk","abort","k","ire","abort","-","abortisce","abortiSSe","abortiSS","-","abortiamo","abortiamo","abort","-","abortisca","abortiska","abortisk","k",1,0
"8","accanire","accanisco","akkanisko","akkanisk","akkan","k","ire","akkan","-","accanisce","akkaniSSe","akkaniSS","-","accaniamo","akkaniamo","akkan","-","accanisca","akkaniska","akkanisk","k",1,0
"9","acconsentire","acconsento","akkonsento","akkonsent","akkonsent","-","ire","akkonsent","-","acconsente","akkonsente","akkonsent","-","acconsentiamo","akkonsentiamo","akkonsent","-","acconsenta","akkonsenta","akkonsent","-",0,1
"10","accudire","accudisco","akkudisko","akkudisk","akkud","k","ire","akkud","-","accudisce","akkudiSSe","akkudiSS","-","accudiamo","akkudiamo","akkud","-","accudisca","akkudiska","akkudisk","k",1,0
"11","acquisire","acquisisco","akquisisko","akquisisk","akquis","k","ire","akquis","-","acquisisce","akquisiSSe","akquisiSS","-","acquisiamo","akquisiamo","akquis","-","acquisisca","akquisiska","akquisisk","k",1,0
"12","acuire","acuisco","akuisko","akuisk","aku","k","ire","aku","-","acuisce","akuiSSe","akuiSS","-","acuiamo","akuiamo","aku","-","acuisca","akuiska","akuisk","k",1,0
"13","addire","addico","addiko","addik","addik","k","ire","add","-","addice","additSe","additS","tS","addiciamo","additSamo","add","-","addica","addika","addik","k",1,0
"14","addivenire","addivengo","addivengo","addiveng","addiveng","ng","ire","addiven","-","addiviene","addiviene","addivien","-","addiveniamo","addiveniamo","addiven","-","addivenga","addivenga","addiveng","ng",1,0
"15","addolcire","addolcisco","addoltSisko","addoltSisk","addoltS","k","ire","addoltS","tS","addolcisce","addoltSiSSe","addoltSiSS","-","addolciamo","addoltSamo","addoltS","tS","addolcisca","addoltSiska","addoltSisk","k",1,0
