"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"1","addurre","adduco",31,"adduko","adduk","k","rre","addu","-","adduce",645,"addutSe","addutS","tS","adduciamo",10,"addutSamo","addu","-","adduca",97,"adduka","adduk","k",1,0,"-"
"2","anteporre","antepongo",32,"antepongo","antepong","ng","rre","antepo","-","antepone",542,"antepone","antepon","-","anteponiamo",25,"anteponiamo","antepo","-","anteponga",84,"anteponga","antepong","ng",1,0,"-"
"3","apporre","appongo",47,"appongo","appong","ng","rre","appo","-","appone",1563,"appone","appon","-","apponiamo",17,"apponiamo","appo","-","apponga",122,"apponga","appong","ng",1,0,"-"
"4","astrarre","astraggo",12,"astraggo","astragg","g","rre","astra","-","astrae",233,"astrae","astra","-","astraiamo",24,"astraiamo","astra","-","astragga",14,"astragga","astragg","g",1,0,"-"
"5","attrarre","attraggo",15,"attraggo","attragg","g","rre","attra","-","attrae",2976,"attrae","attra","-","attraiamo",6,"attraiamo","attra","-","attragga",175,"attragga","attragg","g",1,0,"-"
"6","autoprodurre","autoproduco",5,"autoproduko","autoproduk","k","rre","autoprodu","-","autoproduce",76,"autoprodutSe","autoprodutS","tS","autoproduciamo",7,"autoprodutSamo","autoprodu","-","autoproduca",3,"autoproduka","autoproduk","k",1,0,"-"
"7","comporre","compongo",276,"kompongo","kompong","ng","rre","kompo","-","compone",14339,"kompone","kompon","-","componiamo",89,"komponiamo","kompo","-","componga",212,"komponga","kompong","ng",1,0,"-"
"8","condurre","conduco",396,"konduko","konduk","k","rre","kondu","-","conduce",28436,"kondutSe","kondutS","tS","conduciamo",348,"kondutSamo","kondu","-","conduca",2293,"konduka","konduk","k",1,0,"-"
"9","contrapporre","contrappongo",54,"kontrappongo","kontrappong","ng","rre","kontrappo","-","contrappone",5238,"kontrappone","kontrappon","-","contrapponiamo",118,"kontrapponiamo","kontrappo","-","contrapponga",262,"kontrapponga","kontrappong","ng",1,0,"-"
"10","contrarre","contraggo",30,"kontraggo","kontragg","g","rre","kontra","-","contrae",1383,"kontrae","kontra","-","contraiamo",19,"kontraiamo","kontra","-","contragga",152,"kontragga","kontragg","g",1,0,"-"
"11","dedurre","deduco",1133,"deduko","deduk","k","rre","dedu","-","deduce",7324,"dedutSe","dedutS","tS","deduciamo",254,"dedutSamo","dedu","-","deduca",206,"deduka","deduk","k",1,0,"-"
"12","deporre","depongo",131,"depongo","depong","ng","rre","depo","-","depone",2166,"depone","depon","-","deponiamo",58,"deponiamo","depo","-","deponga",199,"deponga","depong","ng",1,0,"-"
"13","detrarre","detraggo",9,"detraggo","detragg","g","rre","detra","-","detrae",451,"detrae","detra","-","detraiamo",5,"detraiamo","detra","-","detragga",11,"detragga","detragg","g",1,0,"-"
"14","disporre","dispongo",1066,"dispongo","dispong","ng","rre","dispo","-","dispone",74148,"dispone","dispon","-","disponiamo",3337,"disponiamo","dispo","-","disponga",5906,"disponga","dispong","ng",1,0,"-"
"15","distrarre","distraggo",211,"distraggo","distragg","g","rre","distra","-","distrae",1159,"distrae","distra","-","distraiamo",34,"distraiamo","distra","-","distragga",166,"distragga","distragg","g",1,0,"-"
"16","esporre","espongo",1016,"espongo","espong","ng","rre","espo","-","espone",13372,"espone","espon","-","esponiamo",331,"esponiamo","espo","-","esponga",837,"esponga","espong","ng",1,0,"-"
"17","estrarre","estraggo",232,"estraggo","estragg","g","rre","estra","-","estrae",3284,"estrae","estra","-","estraiamo",121,"estraiamo","estra","-","estragga",72,"estragga","estragg","g",1,0,"-"
"18","frapporre","frappongo",7,"frappongo","frappong","ng","rre","frappo","-","frappone",528,"frappone","frappon","-","frapponiamo",10,"frapponiamo","frappo","-","frapponga",102,"frapponga","frappong","ng",1,0,"-"
"19","giustapporre","giustappongo",5,"dGustappongo","dGustappong","ng","rre","dGustappo","-","giustappone",101,"dGustappone","dGustappon","-","giustapponiamo",3,"dGustapponiamo","dGustappo","-","giustapponga",3,"dGustapponga","dGustappong","ng",1,0,"-"
"20","imporre","impongo",337,"impongo","impong","ng","rre","impo","-","impone",41338,"impone","impon","-","imponiamo",307,"imponiamo","impo","-","imponga",2763,"imponga","impong","ng",1,0,"-"
"21","indurre","induco",51,"induko","induk","k","rre","indu","-","induce",12780,"indutSe","indutS","tS","induciamo",24,"indutSamo","indu","-","induca",1187,"induka","induk","k",1,0,"-"
"22","interporre","interpongo",20,"interpongo","interpong","ng","rre","interpo","-","interpone",377,"interpone","interpon","-","interponiamo",5,"interponiamo","interpo","-","interponga",47,"interponga","interpong","ng",1,0,"-"
"23","introdurre","introduco",215,"introduko","introduk","k","rre","introdu","-","introduce",27107,"introdutSe","introdutS","tS","introduciamo",612,"introdutSamo","introdu","-","introduca",1397,"introduka","introduk","k",1,0,"-"
"24","opporre","oppongo",411,"oppongo","oppong","ng","rre","oppo","-","oppone",11294,"oppone","oppon","-","opponiamo",752,"opponiamo","oppo","-","opponga",979,"opponga","oppong","ng",1,0,"-"
"25","porre","pongo",5332,"pongo","pong","ng","rre","po","-","pone",87024,"pone","pon","-","poniamo",5247,"poniamo","po","-","ponga",7353,"ponga","pong","ng",1,0,"-"
"26","predisporre","predispongo",41,"predispongo","predispong","ng","rre","predispo","-","predispone",9965,"predispone","predispon","-","predisponiamo",59,"predisponiamo","predispo","-","predisponga",752,"predisponga","predispong","ng",1,0,"-"
"27","presupporre","presuppongo",113,"presuppongo","presuppong","ng","rre","presuppo","-","presuppone",15063,"presuppone","presuppon","-","presupponiamo",89,"presupponiamo","presuppo","-","presupponga",486,"presupponga","presuppong","ng",1,0,"-"
"28","produrre","produco",543,"produko","produk","k","rre","produ","-","produce",55532,"produtSe","produtS","tS","produciamo",1248,"produtSamo","produ","-","produca",4676,"produka","produk","k",1,0,"-"
"29","proporre","propongo",7696,"propongo","propong","ng","rre","propo","-","propone",141269,"propone","propon","-","proponiamo",11577,"proponiamo","propo","-","proponga",2802,"proponga","propong","ng",1,0,"-"
"30","ricomporre","ricompongo",53,"rikompongo","rikompong","ng","rre","rikompo","-","ricompone",1116,"rikompone","rikompon","-","ricomponiamo",26,"rikomponiamo","rikompo","-","ricomponga",130,"rikomponga","rikompong","ng",1,0,"-"
"31","ricondurre","riconduco",79,"rikonduko","rikonduk","k","rre","rikondu","-","riconduce",2627,"rikondutSe","rikondutS","tS","riconduciamo",51,"rikondutSamo","rikondu","-","riconduca",254,"rikonduka","rikonduk","k",1,0,"-"
"32","ridurre","riduco",271,"riduko","riduk","k","rre","ridu","-","riduce",23395,"ridutSe","ridutS","tS","riduciamo",477,"ridutSamo","ridu","-","riduca",2774,"riduka","riduk","k",1,0,"-"
"33","riporre","ripongo",344,"ripongo","ripong","ng","rre","ripo","-","ripone",1196,"ripone","ripon","-","riponiamo",173,"riponiamo","ripo","-","riponga",103,"riponga","ripong","ng",1,0,"-"
