"","lemma_morphit","form_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf","fonroot_noinc_1ps_ind"
"1","addurre","adduco","adduko","adduk","k","rre","addu","-","adduce","addutSe","addutS","tS","adduciamo","addutSamo","addu","-","adduca","adduka","adduk","k",1,0,"-"
"2","anteporre","antepongo","antepongo","antepong","ng","rre","antepo","-","antepone","antepone","antepon","-","anteponiamo","anteponiamo","antepo","-","anteponga","anteponga","antepong","ng",1,0,"-"
"3","apporre","appongo","appongo","appong","ng","rre","appo","-","appone","appone","appon","-","apponiamo","apponiamo","appo","-","apponga","apponga","appong","ng",1,0,"-"
"4","astrarre","astraggo","astraggo","astragg","g","rre","astra","-","astrae","astrae","astra","-","astraiamo","astraiamo","astra","-","astragga","astragga","astragg","g",1,0,"-"
"5","attrarre","attraggo","attraggo","attragg","g","rre","attra","-","attrae","attrae","attra","-","attraiamo","attraiamo","attra","-","attragga","attragga","attragg","g",1,0,"-"
"6","autoprodurre","autoproduco","autoproduko","autoproduk","k","rre","autoprodu","-","autoproduce","autoprodutSe","autoprodutS","tS","autoproduciamo","autoprodutSamo","autoprodu","-","autoproduca","autoproduka","autoproduk","k",1,0,"-"
"7","autoproporre","autopropongo","autopropongo","autopropong","ng","rre","autopropo","-","autopropone","autopropone","autopropon","-","autoproponiamo","autoproponiamo","autopropo","-","autoproponga","autoproponga","autopropong","ng",1,0,"-"
"8","autoridurre","autoriduco","autoriduko","autoriduk","k","rre","autoridu","-","autoriduce","autoridutSe","autoridutS","tS","autoriduciamo","autoridutSamo","autoridu","-","autoriduca","autoriduka","autoriduk","k",1,0,"-"
"9","autoriprodurre","autoriproduco","autoriproduko","autoriproduk","k","rre","autoriprodu","-","autoriproduce","autoriprodutSe","autoriprodutS","tS","autoriproduciamo","autoriprodutSamo","autoriprodu","-","autoriproduca","autoriproduka","autoriproduk","k",1,0,"-"
"10","co-produrre","co-produco","ko-produko","ko-produk","k","rre","ko-produ","-","co-produce","ko-produtSe","ko-produtS","tS","co-produciamo","ko-produtSamo","ko-produ","-","co-produca","ko-produka","ko-produk","k",1,0,"-"
"11","comporre","compongo","kompongo","kompong","ng","rre","kompo","-","compone","kompone","kompon","-","componiamo","komponiamo","kompo","-","componga","komponga","kompong","ng",1,0,"-"
"12","condurre","conduco","konduko","konduk","k","rre","kondu","-","conduce","kondutSe","kondutS","tS","conduciamo","kondutSamo","kondu","-","conduca","konduka","konduk","k",1,0,"-"
"13","contrapporre","contrappongo","kontrappongo","kontrappong","ng","rre","kontrappo","-","contrappone","kontrappone","kontrappon","-","contrapponiamo","kontrapponiamo","kontrappo","-","contrapponga","kontrapponga","kontrappong","ng",1,0,"-"
"14","contrarre","contraggo","kontraggo","kontragg","g","rre","kontra","-","contrae","kontrae","kontra","-","contraiamo","kontraiamo","kontra","-","contragga","kontragga","kontragg","g",1,0,"-"
"15","coprodurre","coproduco","koproduko","koproduk","k","rre","koprodu","-","coproduce","koprodutSe","koprodutS","tS","coproduciamo","koprodutSamo","koprodu","-","coproduca","koproduka","koproduk","k",1,0,"-"
"16","decomporre","decompongo","dekompongo","dekompong","ng","rre","dekompo","-","decompone","dekompone","dekompon","-","decomponiamo","dekomponiamo","dekompo","-","decomponga","dekomponga","dekompong","ng",1,0,"-"
"17","dedurre","deduco","deduko","deduk","k","rre","dedu","-","deduce","dedutSe","dedutS","tS","deduciamo","dedutSamo","dedu","-","deduca","deduka","deduk","k",1,0,"-"
"18","deporre","depongo","depongo","depong","ng","rre","depo","-","depone","depone","depon","-","deponiamo","deponiamo","depo","-","deponga","deponga","depong","ng",1,0,"-"
"19","detrarre","detraggo","detraggo","detragg","g","rre","detra","-","detrae","detrae","detra","-","detraiamo","detraiamo","detra","-","detragga","detragga","detragg","g",1,0,"-"
"20","disporre","dispongo","dispongo","dispong","ng","rre","dispo","-","dispone","dispone","dispon","-","disponiamo","disponiamo","dispo","-","disponga","disponga","dispong","ng",1,0,"-"
"21","distrarre","distraggo","distraggo","distragg","g","rre","distra","-","distrae","distrae","distra","-","distraiamo","distraiamo","distra","-","distragga","distragga","distragg","g",1,0,"-"
