"","lemma_morphit","form_1ps_ind","fonroot_1ps_ind","conj","form_3ps_ind","fonroot_3ps_ind","form_1ps_sub","fonroot_1ps_sub","L_morph"
"1","abbacchiare","abbacchio","abbakki","are","abbacchia","abbakki","abbacchi","abbakk",0
"2","abbacchiare","abbacchio","abbakki","are","abbacchia","abbakki","abbacchi","abbakki",0
"3","abbacinare","abbacino","abbatSin","are","abbacina","abbatSin","abbacini","abbatSin",0
"4","abbagliare","abbaglio","abbaLL","are","abbaglia","abbaLL","abbagli","abbaLL",0
"5","abbaiare","abbaio","abbai","are","abbaia","abbai","abbai","abbai",0
"6","abbaiare","abbaio","abbai","are","abbaia","abbai","abbai","abba",0
"7","abbandonare","abbandono","abbandon","are","abbandona","abbandon","abbandoni","abbandon",0
"8","abbarbagliare","abbarbaglio","abbarbaLL","are","abbarbaglia","abbarbaLL","abbarbagli","abbarbaLL",0
"9","abbarbicare","abbarbico","abbarbik","are","abbarbica","abbarbik","abbarbichi","abbarbikh",0
"10","abbaruffare","abbaruffo","abbaruff","are","abbaruffa","abbaruff","abbaruffi","abbaruff",0
"11","abbassare","abbasso","abbass","are","abbassa","abbass","abbassi","abbass",0
"12","abbeverare","abbevero","abbever","are","abbevera","abbever","abbeveri","abbever",0
"13","abbicare","abbico","abbik","are","abbica","abbik","abbichi","abbikh",0
"14","abbigliare","abbiglio","abbiLL","are","abbiglia","abbiLL","abbigli","abbiLL",0
"15","abbinare","abbino","abbin","are","abbina","abbin","abbini","abbin",0
"16","abbindolare","abbindolo","abbindol","are","abbindola","abbindol","abbindoli","abbindol",0
"17","abbiosciare","abbioscio","abbioSS","are","abbioscia","abbioSS","abbiosci","abbioSS",0
"18","abbisognare","abbisogno","abbisoNN","are","abbisogna","abbisoNN","abbisogni","abbisoNN",0
"19","abboccare","abbocco","abbokk","are","abbocca","abbokk","abbocchi","abbokk",0
"20","abboffare","abboffo","abboff","are","abboffa","abboff","abboffi","abboff",0
"21","abbonacciare","abbonaccio","abbonattS","are","abbonaccia","abbonattS","abbonacci","abbonattS",0
"22","abbonare","abbono","abbon","are","abbona","abbon","abboni","abbon",0
"23","abbondare","abbondo","abbond","are","abbonda","abbond","abbondi","abbond",0
"24","abbordare","abbordo","abbord","are","abborda","abbord","abbordi","abbord",0
"25","abborracciare","abborraccio","abborrattS","are","abborraccia","abborrattS","abborracci","abborrattS",0
"26","abbottare","abbotto","abbott","are","abbotta","abbott","abbotti","abbott",0
"27","abbottonare","abbottono","abbotton","are","abbottona","abbotton","abbottoni","abbotton",0
"28","abbozzare","abbozzo","abbozz","are","abbozza","abbozz","abbozzi","abbozz",0
"29","abbracciare","abbraccio","abbrattS","are","abbraccia","abbrattS","abbracci","abbrattS",0
"30","abbrancare","abbranco","abbrank","are","abbranca","abbrank","abbranchi","abbrankh",0
"31","abbreviare","abbrevio","abbrevi","are","abbrevia","abbrevi","abbrevi","abbrevi",0
"32","abbreviare","abbrevio","abbrevi","are","abbrevia","abbrevi","abbrevi","abbrev",0
"33","abbronzare","abbronzo","abbronz","are","abbronza","abbronz","abbronzi","abbronz",0
"34","abbrunare","abbruno","abbrun","are","abbruna","abbrun","abbruni","abbrun",0
"35","abbuffare","abbuffo","abbuff","are","abbuffa","abbuff","abbuffi","abbuff",0
"36","abbuiare","abbuio","abbui","are","abbuia","abbui","abbui","abbu",0
"37","abbuiare","abbuio","abbui","are","abbuia","abbui","abbui","abbui",0
"38","abbuonare","abbuono","abbuon","are","abbuona","abbuon","abbuoni","abbuon",0
"39","abburattare","abburatto","abburatt","are","abburatta","abburatt","abburatti","abburatt",0
"40","abdicare","abdico","abdik","are","abdica","abdik","abdichi","abdikh",0
"41","aberrare","aberro","aberr","are","aberra","aberr","aberri","aberr",0
"42","abilitare","abilito","abilit","are","abilita","abilit","abiliti","abilit",0
"43","abitare","abito","abit","are","abita","abit","abiti","abit",0
"44","abituare","abituo","abitu","are","abitua","abitu","abitui","abitu",0
"45","abiurare","abiuro","abiur","are","abiura","abiur","abiuri","abiur",0
"46","abominare","abomino","abomin","are","abomina","abomin","abomini","abomin",0
"47","abrogare","abrogo","abrog","are","abroga","abrog","abroghi","abrogh",0
"48","abusare","abuso","abus","are","abusa","abus","abusi","abus",0
"49","accalappiare","accalappio","akkalappi","are","accalappia","akkalappi","accalappi","akkalappi",0
"50","accalappiare","accalappio","akkalappi","are","accalappia","akkalappi","accalappi","akkalapp",0
"51","accalcare","accalco","akkalk","are","accalca","akkalk","accalchi","akkalkh",0
"52","accaldare","accaldo","akkald","are","accalda","akkald","accaldi","akkald",0
"53","accalorare","accaloro","akkalor","are","accalora","akkalor","accalori","akkalor",0
"54","accampare","accampo","akkamp","are","accampa","akkamp","accampi","akkamp",0
"55","accanare","accano","akkan","are","accana","akkan","accani","akkan",0
"56","accantonare","accantono","akkanton","are","accantona","akkanton","accantoni","akkanton",0
"57","accaparrare","accaparro","akkaparr","are","accaparra","akkaparr","accaparri","akkaparr",0
"58","accapigliare","accapiglio","akkapiLL","are","accapiglia","akkapiLL","accapigli","akkapiLL",0
"59","accapponare","accappono","akkappon","are","accappona","akkappon","accapponi","akkappon",0
"60","accarezzare","accarezzo","akkarezz","are","accarezza","akkarezz","accarezzi","akkarezz",0
"61","accartocciare","accartoccio","akkartottS","are","accartoccia","akkartottS","accartocci","akkartottS",0
"62","accasare","accaso","akkas","are","accasa","akkas","accasi","akkas",0
"63","accasciare","accascio","akkaSS","are","accascia","akkaSS","accasci","akkaSS",0
"64","accasermare","accasermo","akkaserm","are","accaserma","akkaserm","accasermi","akkaserm",0
"65","accatastare","accatasto","akkatast","are","accatasta","akkatast","accatasti","akkatast",0
"66","accattare","accatto","akkatt","are","accatta","akkatt","accatti","akkatt",0
"67","accattivare","accattivo","akkattiv","are","accattiva","akkattiv","accattivi","akkattiv",0
"68","accattonare","accattono","akkatton","are","accattona","akkatton","accattoni","akkatton",0
"69","accavallare","accavallo","akkavall","are","accavalla","akkavall","accavalli","akkavall",0
"70","accecare","acceco","attSek","are","acceca","attSek","accechi","attSekh",0
"71","accelerare","accelero","attSeler","are","accelera","attSeler","acceleri","attSeler",0
"72","accellerare","accellero","attSeller","are","accellera","attSeller","accelleri","attSeller",0
"73","accennare","accenno","attSenn","are","accenna","attSenn","accenni","attSenn",0
"74","accentare","accento","attSent","are","accenta","attSent","accenti","attSent",0
"75","accentrare","accentro","attSentr","are","accentra","attSentr","accentri","attSentr",0
"76","accentuare","accentuo","attSentu","are","accentua","attSentu","accentui","attSentu",0
"77","accerchiare","accerchio","attSerkhi","are","accerchia","attSerkhi","accerchi","attSerkhi",0
"78","accerchiare","accerchio","attSerkhi","are","accerchia","attSerkhi","accerchi","attSerkh",0
"79","accertare","accerto","attSert","are","accerta","attSert","accerti","attSert",0
"80","accettare","accetto","attSett","are","accetta","attSett","accetti","attSett",0
"81","acchiappare","acchiappo","akkiapp","are","acchiappa","akkiapp","acchiappi","akkiapp",0
"82","acchitare","acchito","akkit","are","acchita","akkit","acchiti","akkit",0
"83","acciaccare","acciacco","attSakk","are","acciacca","attSakk","acciacchi","attSakk",0
"84","acciaiare","acciaio","attSai","are","acciaia","attSai","acciai","attSai",0
"85","acciaiare","acciaio","attSai","are","acciaia","attSai","acciai","attSa",0
"86","acciambellare","acciambello","attSambell","are","acciambella","attSambell","acciambelli","attSambell",0
"87","accigliare","acciglio","attSiLL","are","acciglia","attSiLL","accigli","attSiLL",0
"88","acciottolare","acciottolo","attSottol","are","acciottola","attSottol","acciottoli","attSottol",0
"89","acciuffare","acciuffo","attSuff","are","acciuffa","attSuff","acciuffi","attSuff",0
"90","acclamare","acclamo","akklam","are","acclama","akklam","acclami","akklam",0
"91","acclimare","acclimo","akklim","are","acclima","akklim","acclimi","akklim",0
"92","acclimatare","acclimato","akklimat","are","acclimata","akklimat","acclimati","akklimat",0
"93","accoccolare","accoccolo","akkokkol","are","accoccola","akkokkol","accoccoli","akkokkol",0
"94","accodare","accodo","akkod","are","accoda","akkod","accodi","akkod",0
"95","accollare","accollo","akkoll","are","accolla","akkoll","accolli","akkoll",0
"96","accoltellare","accoltello","akkoltell","are","accoltella","akkoltell","accoltelli","akkoltell",0
"97","accomandare","accomando","akkomand","are","accomanda","akkomand","accomandi","akkomand",0
"98","accomiatare","accomiato","akkomiat","are","accomiata","akkomiat","accomiati","akkomiat",0
"99","accomodare","accomodo","akkomod","are","accomoda","akkomod","accomodi","akkomod",0
"100","accompagnare","accompagno","akkompaNN","are","accompagna","akkompaNN","accompagni","akkompaNN",0
"101","accomunare","accomuno","akkomun","are","accomuna","akkomun","accomuni","akkomun",0
"102","acconciare","acconcio","akkontS","are","acconcia","akkontS","acconci","akkontS",0
"103","accontentare","accontento","akkontent","are","accontenta","akkontent","accontenti","akkontent",0
"104","accoppare","accoppo","akkopp","are","accoppa","akkopp","accoppi","akkopp",0
"105","accoppiare","accoppio","akkoppi","are","accoppia","akkoppi","accoppi","akkoppi",0
"106","accoppiare","accoppio","akkoppi","are","accoppia","akkoppi","accoppi","akkopp",0
"107","accorare","accoro","akkor","are","accora","akkor","accori","akkor",0
"108","accorciare","accorcio","akkortS","are","accorcia","akkortS","accorci","akkortS",0
"109","accordare","accordo","akkord","are","accorda","akkord","accordi","akkord",0
"110","accorpare","accorpo","akkorp","are","accorpa","akkorp","accorpi","akkorp",0
"111","accosciare","accoscio","akkoSS","are","accoscia","akkoSS","accosci","akkoSS",0
"112","accostare","accosto","akkost","are","accosta","akkost","accosti","akkost",0
"113","accostumare","accostumo","akkostum","are","accostuma","akkostum","accostumi","akkostum",0
"114","accovacciare","accovaccio","akkovattS","are","accovaccia","akkovattS","accovacci","akkovattS",0
"115","accozzare","accozzo","akkozz","are","accozza","akkozz","accozzi","akkozz",0
"116","accreditare","accredito","akkredit","are","accredita","akkredit","accrediti","akkredit",0
"117","accucciare","accuccio","akkuttS","are","accuccia","akkuttS","accucci","akkuttS",0
"118","acculare","acculo","akkul","are","accula","akkul","acculi","akkul",0
"119","accumulare","accumulo","akkumul","are","accumula","akkumul","accumuli","akkumul",0
"120","accusare","accuso","akkus","are","accusa","akkus","accusi","akkus",0
"121","acidificare","acidifico","atSidifik","are","acidifica","atSidifik","acidifichi","atSidifikh",0
"122","acquartierare","acquartiero","akquartier","are","acquartiera","akquartier","acquartieri","akquartier",0
"123","acquattare","acquatto","akquatt","are","acquatta","akquatt","acquatti","akquatt",0
"124","acquerellare","acquerello","akquerell","are","acquerella","akquerell","acquerelli","akquerell",0
"125","acquietare","acquieto","akquiet","are","acquieta","akquiet","acquieti","akquiet",0
"126","acquistare","acquisto","akquist","are","acquista","akquist","acquisti","akquist",0
"127","acuminare","acumino","akumin","are","acumina","akumin","acumini","akumin",0
"128","acutizzare","acutizzo","akutizz","are","acutizza","akutizz","acutizzi","akutizz",0
"129","adagiare","adagio","adadG","are","adagia","adadG","adagi","adadG",0
"130","adattare","adatto","adatt","are","adatta","adatt","adatti","adatt",0
"131","addebitare","addebito","addebit","are","addebita","addebit","addebiti","addebit",0
"132","addensare","addenso","addens","are","addensa","addens","addensi","addens",0
"133","addentare","addento","addent","are","addenta","addent","addenti","addent",0
"134","addentellare","addentello","addentell","are","addentella","addentell","addentelli","addentell",0
"135","addentrare","addentro","addentr","are","addentra","addentr","addentri","addentr",0
"136","addestrare","addestro","addestr","are","addestra","addestr","addestri","addestr",0
"137","additare","addito","addit","are","addita","addit","additi","addit",0
"138","addizionare","addiziono","addizion","are","addiziona","addizion","addizioni","addizion",0
"139","addobbare","addobbo","addobb","are","addobba","addobb","addobbi","addobb",0
"140","addolorare","addoloro","addolor","are","addolora","addolor","addolori","addolor",0
"141","addomesticare","addomestico","addomestik","are","addomestica","addomestik","addomestichi","addomestikh",0
"142","addormentare","addormento","addorment","are","addormenta","addorment","addormenti","addorment",0
"143","addossare","addosso","addoss","are","addossa","addoss","addossi","addoss",0
"144","addottorare","addottoro","addottor","are","addottora","addottor","addottori","addottor",0
"145","addottrinare","addottrino","addottrin","are","addottrina","addottrin","addottrini","addottrin",0
"146","adeguare","adeguo","adegu","are","adegua","adegu","adegui","adegu",0
"147","adescare","adesco","adesk","are","adesca","adesk","adeschi","adesk",0
"148","adirare","adiro","adir","are","adira","adir","adiri","adir",0
"149","adocchiare","adocchio","adokki","are","adocchia","adokki","adocchi","adokki",0
"150","adocchiare","adocchio","adokki","are","adocchia","adokki","adocchi","adokk",0
"151","adombrare","adombro","adombr","are","adombra","adombr","adombri","adombr",0
"152","adontare","adonto","adont","are","adonta","adont","adonti","adont",0
"153","adoperare","adopero","adoper","are","adopera","adoper","adoperi","adoper",0
"154","adoprare","adopro","adopr","are","adopra","adopr","adopri","adopr",0
"155","adorare","adoro","ador","are","adora","ador","adori","ador",0
"156","adornare","adorno","adorn","are","adorna","adorn","adorni","adorn",0
"157","adottare","adotto","adott","are","adotta","adott","adotti","adott",0
"158","aduggiare","aduggio","aduddG","are","aduggia","aduddG","aduggi","aduddG",0
"159","adulare","adulo","adul","are","adula","adul","aduli","adul",0
"160","adulterare","adultero","adulter","are","adultera","adulter","adulteri","adulter",0
"161","adunare","aduno","adun","are","aduna","adun","aduni","adun",0
"162","adusare","aduso","adus","are","adusa","adus","adusi","adus",0
"163","aerare","aero","aer","are","aera","aer","aeri","aer",0
"164","aerotrasportare","aerotrasporto","aerotrasport","are","aerotrasporta","aerotrasport","aerotrasporti","aerotrasport",0
"165","affabulare","affabulo","affabul","are","affabula","affabul","affabuli","affabul",0
"166","affaccendare","affaccendo","affattSend","are","affaccenda","affattSend","affaccendi","affattSend",0
"167","affacciare","affaccio","affattS","are","affaccia","affattS","affacci","affattS",0
"168","affamare","affamo","affam","are","affama","affam","affami","affam",0
"169","affannare","affanno","affann","are","affanna","affann","affanni","affann",0
"170","affardellare","affardello","affardell","are","affardella","affardell","affardelli","affardell",0
"171","affare","affo","aff","are","affa","aff","affi","aff",0
"172","affascinare","affascino","affaSSin","are","affascina","affaSSin","affascini","affaSSin",0
"173","affastellare","affastello","affastell","are","affastella","affastell","affastelli","affastell",0
"174","affaticare","affatico","affatik","are","affatica","affatik","affatichi","affatikh",0
"175","affatturare","affatturo","affattur","are","affattura","affattur","affatturi","affattur",0
"176","affermare","affermo","afferm","are","afferma","afferm","affermi","afferm",0
"177","afferrare","afferro","afferr","are","afferra","afferr","afferri","afferr",0
"178","affettare","affetto","affett","are","affetta","affett","affetti","affett",0
"179","affezionare","affeziono","affezion","are","affeziona","affezion","affezioni","affezion",0
"180","affiancare","affianco","affiank","are","affianca","affiank","affianchi","affiankh",0
"181","affiatare","affiato","affiat","are","affiata","affiat","affiati","affiat",0
"182","affibbiare","affibbio","affibbi","are","affibbia","affibbi","affibbi","affibbi",0
